lambda;Return;Risk;E[x,lambda];Stocks;Investment;Pareto
0.01;0.006572611852320165;0.0005414570470560391;-0.006501471163326403;[2 23 55 80 23];[0.23273548488043486, 0.17090477758303257, 0.260505399768301, 0.2358543377682316, 0.1];true
0.01;0.006480163908309368;0.0005239445226745478;-0.006410122823999529;[88 9 80 15 23];[0.265308713733143, 0.21896142876994396, 0.2487060740925923, 0.1, 0.16702378340432078];true
0.01;0.006701727914823547;0.0005183681907451127;-0.00662952695376786;[60 23 75 42 23];[0.1, 0.20083881098636497, 0.18152811482777487, 0.2836753945274395, 0.23395767965842068];false
0.01;0.007326842227569968;0.0005281835532559321;-0.007248291969761709;[23 80 60 15 60];[0.17380152309360558, 0.1, 0.19083879719787616, 0.21298696933394062, 0.3223727103745776];false
0.01;0.006739909172805825;0.0006094794052568179;-0.006666415287025198;[23 60 60 80 80];[0.2509990236666134, 0.17469017733241315, 0.21957499262981656, 0.1, 0.2547358063711569];true
0.01;0.0061231229589373045;0.0004244482813134814;-0.006057647246534797;[75 88 60 75 15];[0.22408688072438, 0.1, 0.16005434948167732, 0.2521592602704731, 0.2636995095234697];true
0.01;0.006178113843832933;0.00041493602748624285;-0.006112183345119741;[15 60 75 23 75];[0.30550926621892477, 0.18563503132646547, 0.22984078433431765, 0.1, 0.17901491812029213];false
0.01;0.0064615019742288796;0.00044603768896361477;-0.006392426577596954;[55 23 88 60 75];[0.1, 0.1, 0.34558745062445173, 0.1, 0.35441254937554834];false
0.01;0.00648883700947973;0.00042690013444220473;-0.00641967963804051;[75 88 75 55 23];[0.2352040399913674, 0.22427161275112978, 0.20215270334648916, 0.1, 0.23837164391101365];false
0.01;0.007293413078913377;0.0006389523362944212;-0.007214089424761299;[23 23 88 75 23];[0.1, 0.3801017304507158, 0.21573832327622616, 0.20415994627305806, 0.1];false
0.01;0.006467137364408155;0.0003990267821741956;-0.006398475722942332;[23 75 42 9 88];[0.1, 0.4889240069340658, 0.21107599306593425, 0.1, 0.1];false
0.01;0.006488891383462162;0.0005041115941136401;-0.006418961353686404;[42 88 9 9 75];[0.1, 0.23564769608486408, 0.2563020817142979, 0.19478896929431516, 0.2132612529065229];true
0.01;0.00583182934523418;0.0004178330978172395;-0.005769332720803665;[9 23 60 75 75];[0.24332682173904815, 0.2196416283542485, 0.21701434355067706, 0.1, 0.2200172063560263];true
0.01;0.005988801287736599;0.00042236456812976236;-0.005924689629177935;[75 60 75 88 9];[0.23817342671778338, 0.27060139254131677, 0.1944758802186153, 0.19674930052228456, 0.1];true
0.01;0.006191580540430767;0.0004699433165862232;-0.006124965301860598;[88 42 75 60 55];[0.24751932374164898, 0.1, 0.17437203736491924, 0.259820266191505, 0.21828837270192686];true
